name,lat,lon,city,username,password,theatre_id
"PVR: Arena Mahadevapura, Bengaluru",12.97991,77.69319,0,LaevusII,NP4z3kJjYa,109
"PVR: Forum Gold, Bengaluru",12.93463,77.6113,0,Kryptonik,18ytooBubY,110
"PVR: Forum, Bengaluru",12.93463,77.6113,0,z435363443,S2CEa89H,111
"PVR: IMAX, VR Bengaluru, Whitefield",12.99639,77.69531,0,Roxs,D3u2nzpj6,112
"PVR: Market City (4DX), Bengaluru",12.99725,77.69573,0,LoveLess19,BhdarloxG,113
"PVR: Market City, Bengaluru",12.99725,77.69573,0,Raven_Tanya,OiNDnzjE,114
"PVR: MSR Elements Mall, Bengaluru",13.04516,77.62658,0,vorex,RHnWShgKd,115
"PVR: Orion Gold, Rajajinagar",13.011,77.55509,0,Gor3byss333,YhCLrvuux,116
"PVR: Orion, Rajajinagar",13.011,77.55509,0,PrinceRen,oFRvuqNx,117
"PVR: Pepsi IMAX, Koramangala",12.93455,77.61109,0,EvilMink,YjD8b9fpPOJ,118
"PVR: Soul Spirit Bellandur, Bengaluru",12.92676,77.67528,0,acsixma,D3jxS6invE,119
"PVR: Vaishnavi Sapphire Mall, Bengaluru",13.02414,77.54897,0,nitewing34,z5QGJ1aJ,120
"PVR: VR Gold, Bengaluru",12.99651,77.69526,0,ChicoDj_,v7ACuddSw,121
"PVR: VR, Bengaluru",12.99651,77.69526,0,pro_devel,udaid09g,122
Radhakrishna Theatre: R.T. Nagar,13.01337,77.59387,0,AnimeDude201,ofLjpdU3zcf,123
"Raja Murali Theatre, Kodigehalli Sahakar Nagar(post)",13.0605001,77.5768534,0,brunomp,3t1FzaV7,124
Rajarajeshwari Theatre: Nagarbhavi Circle,12.95695,77.50206,0,Mukkashi,YmpZxVpv,125
"Ranganatha Theatre, Mysore Road",12.9632206,77.5663842,0,XresonanceX,KctQK0nfqJN,126
Ravi Digital 2K Cinema: Ejipura,12.95124,77.62217,0,Rukawa,sl906jcq,127
Rex Theatre: Brigade Road,12.97262,77.60663,0,leSange,FAyW2fZK4,128
"Robin Theatre, Chudenapura",12.9160026,77.479051,0,erky1039,9aFX1K72nB,129
Sampige Digital 2k Cinema: Malleshwaram,12.99307,77.5711,0,iwakuralain,xBrB63D2D,130
Sandeep Theatre: Shivaji Nagar,12.98161,77.60294,0,Amar,HNORef4P,131
Sandhya Digital 4K Projection Dolby Atmos: Madiwal,12.92101,77.61794,0,Inrolam,apXVF1zMws2,132
Sangeet Theatre: Shivaji Nagar,12.98161,77.60294,0,Mr_Ghost,RnTA8GmLWEL,133
Santosh Theatre: Gandhinagar,12.97484,77.57638,0,Kaolla,2l0CuCjaRU,134
Sapna Theatre: Gandhi Nagar,12.9743,77.57619,0,acr429,T1AFxxzIQ5G,135
Sharada Cinemas A/C: S.P Road,12.96528,77.58471,0,HellBoy,3DrdRMdOc,136
"Shobha Talkies, Bhabuji Nagar",12.9574781,77.543303,0,Saito23,z9NszRV752,137
"Soundarya Mahal, Antharahalli",12.9032569,77.5861215,0,adi7639,jjsEd4l77,138
Sri Balaji Digital 2K Cinema: Viveknagar,12.95686,77.61944,0,Bombersuar1,McsHNpAA,139
Sri Kokila Theatre: Hosakerehalli,12.93363,77.5373,0,AtherakhiaDannan,eKJSruto,140
Sri Krishna Digital 2K Cinema: Bommanahalli,12.90535,77.62936,0,Dusterbayala,1x79bvXUuRn,141
Sri Krishna Theatre: KR Puram,13.00889,77.69893,0,codytappen,WCYZYjlnYCP,142
Sri Lakshmi Theatre: Ramamurthy Nagar,13.0103,77.67387,0,xXKawaiiSlayerXx,S9Qz4NL6,143
"Sri Madeswara Chitra Mandira, Bangalore",12.9156484,77.5633059,0,Best-of-Anime,wtXIFSbf6,144
"Sri Maruthi Theatre, Rajagopal Nagar",13.0122659,77.5098421,0,Oce,m0kyjDSsQv,145
Sri Renuka Prasanna Theatre: J P Nagar,12.91506,77.58783,0,donicila,vt27mHURgyw,146
"Sri Siddalingeswara Chitra Mandira, Bangalore",12.9037028,77.5804877,0,jukugo,pgTrROapP,147
Sri Srinivasa Theatre: Padmanabanagara,12.90898,77.55804,0,AgehaChan,JuMBZEMC,148
Sri Vajreshwari Theatre: Ullal,12.94238,77.48814,0,cardtrick,VUempVZrx,149
Sri Venkateshwara Theatre: Kengeri,12.90644,77.48277,0,TornadoTheDragon,YD4syijBh,150
Sri Vinayaka A/C Digital 2K Cinemas: Varthur,12.93572,77.74443,0,-Kenjiro,YaIgERyt,151
Sri Vinayaka Digital 2K Cinema (D.J.Halli),13.0144,77.60564,0,Froschfan,Rt26Seq8HTG,152
"Srinivasa Chitra Mandira, Kadugodi",12.9885232,77.7660591,0,Starwin,bIoFh4bcsAW,153
Srinivasa Digital 4K Cinema: S.G. Palya,12.93188,77.60772,0,EnemyAC130Above,jdvRiTWhc,154
"Sujatha Talkies, Deepanjalinagar",12.9618776,77.5473551,0,GlaceStark,1PiP8Pt7d,155
"Super Talkies, Chickpet",12.9678583,77.5699123,0,ahmi_chan,8bUWN0h1,156
"The Cinema GT World: Magadi Rd, Bengaluru",12.97345,77.55171,0,Tsundora,G1vVOeBkO,157
Thirumala Digital 2K Cinema: Agara,12.91991,77.64969,0,ukiyo_,qHuykVDFDe7,158
Triveni Theatre: Gandhinagar,12.97628,77.57538,0,MariHeAl,sSbdCkxlxT,159
"Tulsi Chitra Mandira, Marathalli",12.956319,77.6981967,0,shinotenshibara,Tyxd82q3,160
"Uma Theatre, Chamrajpet",12.9554065,77.567022,0,x_LiluLoveless_x,59IxtX6HOA,161
Urvashi Digital 4K Cinema: Lalbagh Road,12.95607,77.58541,0,GDLC,yyOankXxU,162
Vaibhav Digital 4K Cinema: Sanjaynagar,13.03558,77.57463,0,deactivatedshio,arSWQCED,163
Vaibhavi A/C Theatre: Uttarahalli,12.90348,77.54415,0,FlashFrozen,sYkuYJHI9,164
Vainidhi Digital 2K Cinemas (Chandan): Singapura,13.07427,77.5405,0,Tujumase,vIOUF58NBp,165
Vaishnavi A/C Theatre: Uttarahalli,12.90348,77.54415,0,CrossbowJoe,8pUVIbz6NwC,166
Veerabhadreshwara Theatre: Kamala Nagar,12.9931,77.52909,0,nb,TWdsNHtjZWs,167
Veeresh Cinemas Screen 1: Magadi Rd,12.97707,77.54595,0,5hya,4Pk3FEFBg,168
Veeresh Cinemas Screen 2: Magadi Rd,12.97707,77.54595,0,Straightedge,RN1dfiFr,169
Venkateshwara A/c Digital 2K Cinema: K.R.Puram,13.00525,77.69667,0,nad33r,iM7IIsbP9,170
"Venkateshwara Cinemas: Gollarahatti,Magadi Rd",12.98848,77.47392,0,EviPhoenix,DNkk8aRh,171
Venkateshwara Digital 2K Cinema: Avalahalli Girina,12.94351,77.54797,0,firedancer,g4vF3KglVh,172
Vijay Theatre: Byatarayanapura,12.94846,77.53969,0,zlooo,7fSChvEj96,173
Vijayalakshmi Digital 2K Cinema: Garudacharpalya,12.99348,77.70187,0,The_Lordian,KY0AweuR,174
"Vinayaka Chitra Mandira, Marathahalli",12.9557258,77.6995081,0,yuki_101191,C6SmELDNsA,175
"Vinayaka Theatre, Chamrajpet",12.9632205,77.5663841,0,Kristanno,dfYsRyNZg1E,176
Vinayaka Theatre: Harinagar,12.87488,77.57015,0,Ansaga,Jd7aHZa7,177
Vishal A/C Theatre: Kamakshipalya,12.98318,77.53018,0,feliciahardy,N1T9kwnxJDV,178
"Vullas Theatre, Yeshwantpura",13.019888,77.551474,0,DreamyEyes,QlZE3fqWu,179
Abirami Cinemas: Chennai,13.086,80.24809,7,aak88,sAfs3Zz9Ug,180
"Agasthiya, T.H Road",13.1239102,80.2878637,7,melimelo126,AhWTa6bQdS,181
AGS Cinemas: T. Nagar,13.04745,80.24485,7,shaoxiong,VttemqYFowI,182
AGS Cinemas: Villivakkam,13.10471,80.209,7,ms-usagi,EF8VzbFP,183
Albert Complex,13.0761554,80.2638409,7,weslleisan,NHWOW4V1yz,184
Anna Theatre: Chennai,13.06717,80.27129,7,AlexTheRiot,HaIX0Zy6V,185
"Annai Karumari, Virugambakkam",13.0530785,80.1931011,7,kyoto_citizen,WlWP3oJjUf,186
Arvind Theatre A/C dts,12.9153435,80.2297244,7,Maqad,F8w8UnR6r,187
AVM Rajeswari A/C dts,13.0475424,80.2046086,7,RaeKai7,z0M6eP8qWry,188
"Baby Albert Theatre, Whannels Road",13.0761555,80.263841,7,dustychain,b3rMaivAwk,189
"Bala Theatre, Anna Road",13.0949014,80.1855746,7,yggdrizzle,3C8UBzjgwEh,190
Bharath Theatre Dolby AtmosDolby Atmos,13.1102599,80.2797875,7,ra-in,snmBGFFW2rG,191
Casino Theatre: Chennai,13.06868,80.27017,7,AwesomeKattyK,stoAB5szc,192
"Chandran Theatre, Ashoknagar",13.0347676,80.2104299,7,Xepasenior,QcRbTtZqy,193
Devi Karumari A/C,13.0499059,80.1934024,7,VoliMedjed,XQJYSq9kS2M,194
Devicineplex,13.0662224,80.2707235,7,MrChoklit,8ZPba5YSNKI,195
Ega Cinema,13.0778725,80.2404635,7,Kayrarara,jH26ZMFcSor,196
Ganapathy Ram Theatre: Chennai,13.00397,80.25632,7,Miss_Elyon,dXm5PWPCu,197
GK Cinemas 2K Dolby Atmos: Porur,13.03374,80.16108,7,Chocolatezz,DRmKebXCQF4,198
INOX National: Arcot Road,13.04689,80.19036,7,Destruc,4MtjRNYlpE,199
"INOX: Chennai Citi Centre, Dr. RK Salai",13.04295,80.27379,7,-y-o-s-h-,h1fGaEuDxGz,200
Jothi Theatre 4K A/c DTS: ST Thomas Mount,13.00611,80.20134,7,kennethmusicman,jpit9wUkRdK,201
Kamala CinemasF&B;,13.0489837,80.2101709,7,Gigacorona,uRp82f0YV,202
Kasi4K Dolby Atmos,13.0294637,80.2084348,7,Gabriel_Noschang,LJWgXPsw,203
"Krishnaveni, South Usman Raod",13.0346055,80.2307106,7,Bebop,BVfKi8rYKpO,204
Kumaran Theatre QUBE A/C DTS: Madipakkam,12.97191,80.19214,7,namiSWN,THpecjvgpvb,205
Luxe Cinemas: Chennai,12.99154,80.21681,7,Lifeissohard,bJld2Nel6l,206
"Mahalakshmi Talkies, Strahans Road",13.0975215,80.256593,7,haeworlddd,oc1clVi1,207
Maharani Theatre 2K dts,13.1175008,80.2842433,7,Azhazel,6UgrPjV5pA,208
"Mayura, Arakonam Road",13.0997993,80.1698389,7,Jiraiyan,JRP1U0hUT,209
MM Theatre,13.1260232,80.2896379,7,Limpi,IIDKWW5C7Q,210
Murugan Cinemas - AmbatturDolby Atmos,13.1135444,80.1572574,7,IoriYagami,43ISqwETJ,211
Nadhamuni Cinema,13.1034052,80.2022335,7,parallelhearts,AIa7VQSZ,212
"Padmam, Poonamallee High Road",13.0690757,80.1889014,7,Kittyki,JX8Z4WAx,213
"Pandian, Moolakadai",13.1322548,80.2424585,7,Sirdante,FEwfZC3lBl,214
"PVR: Ampa, Chennai",13.07359,80.22138,7,p0nch0,Hvf21SMMfz,215
"PVR: Velachery, Chennai",12.97195,80.22036,7,lolbridget,2BAhNvIXIVW,216
Raj Theatre - A/C DTS: Chennai,13.0196,80.22324,7,myungyare,5bwJqO4dcd,217
Rakki Cinemas - Ambattur,13.1227657,80.1476317,7,ValeraN,KOMshRvpM9p,218
Rohini Silver Screens: Chennai,13.07575,80.19586,7,Tofs,1E0Vt16XPxq,219
"Roopam, Poonamallee High Road",13.0797983,80.2025852,7,Kriegsmarine,KJ03jWF7,220
Sangam Cinemas,13.0794633,80.2492933,7,reddcat,RlY3tNk7kA,221
"Saravana Theatre, Brick Kiln Road",13.0928614,80.2515167,7,kendolli,1gDTtef6,222
"Sathyam Royapettah, Lloyds Estate",13.0553683,80.2579668,7,WishMeLuck,Ylt5h0zE,223
"SK-Marlen Cinemas 2K, Guindy: Alandur",13.00176,80.20358,7,Remmirath,EyIqwftM423,224
"Spectrum Mall, Perambur North",13.1122465,80.2363247,7,lollypebbles,EkaNm6KxSiP,225
Sri Bhuvaneshwari Theatre A/C dts,13.0916293,80.2583516,7,Artistichooves,KeXIafIh,226
Sri Ganga Cinemas Dolby Atmos - KolathurDolby Atmos,13.1252216,80.2181625,7,Depraved-Kun,RlyVk6HT,227
"Sri Murugan, Ambattur",13.100996,80.164051,7,Daisake,fNjg1xrcl,228
Srinivasa Theatre,13.0310779,80.2250651,7,felipecchi,7sMMHJ7iAiT,229
"The Forum Vijaya Mall, Vadapalani",13.0497383,80.2095368,7,darkviola101,RmGMJdd9X,230
"Thirumurugan, Ambattur",13.1212603,80.1513583,7,redragon777,76ZrPo6H,231
Udhayam Complex,12.9596264,80.2433274,7,Acation,iFRCTkoVf,232
"Udhayam Theatre, Ashoknagar",13.0346888,80.2103968,7,natures-song,Bpedtb3E,233
Vetrrivel Theatre 2K - Nanganallur,12.9801087,80.1821216,7,climhazzard03,zXYXNyNR9Z,234
Woodlands Complex: Chennai,13.05656,80.26497,7,bakawingx,XStlFImf0VC,235
"7D Mastiii: TDI Mall, Rajouri Garden, Delhi",28.65083,77.12087,4,StitchOtaku,imPZ30Ce,236
Abhishek Cineplex: Chandni Chowk,28.65628,77.2342,4,werlwend,AiI4ywwSDj3,237
Amba Cinema: Delhi,28.67724,77.20104,4,nighthawk741,zyUUZ9abIRQ,238
"Batra Cinema, Dr.Mukerjee Nagar",28.7113494,77.2150536,4,watchfuleye,PKBSNXLV2mB,239
Batra Reels Cinemas: New Friends Colony,28.56153,77.26865,4,mzkami,t3znGolgSq,240
Carnival: Odeon Complex,28.63429,77.22107,4,pedroivo27,VunVUGd3BdF,241
"Cinepolis: Cross River Mall, Mall, Shahdara",28.65681,77.30189,4,Tamah,IaRiVLwg,242
"Cinepolis: Unity One Mall Rohini, Delhi",28.71513,77.11631,4,aNTh0ny,RwB3VwUOsgw,243
"Cinepolis: V3S Mall, Laxmi Nagar",28.63711,77.28606,4,ShiroNakamura,G2t9wDM2,244
Delite Cinema: Asaf Ali Road,28.64122,77.23587,4,Lodella,UzWBfIlZlW,245
"DT Cinemas: DLF Place, Saket",28.5274,77.21713,4,Mael,f2fPdqQb,246
DT Cinemas: Savitri Complex GK2,28.54135,77.24011,4,Fangel,femaFL8PPdo,247
"Fun Cinemas: North Square Mall, Pitampura",28.69151,77.14843,4,pointono,gAo0NfxnL,248
"Fun Cinemas: TDI Mall, Moti Nagar",28.65668,77.13945,4,Mahashi,Osv0jzDlEq,249
G3S Cinema: Rohini,28.73469,77.11376,4,Nekochokoreto,dIzxzwoOkz5,250
Gagan Cinema: Delhi,28.69635,77.31493,4,bails649,X8pgGLcVCTz,251
"Hans Cinema, G.T Karnal Road",28.7031355,77.1824101,4,Remainingecho,PUa0Yw70BV0,252
INOX Eros One: Jangpura Extn,28.58122,77.24199,4,Flameneo,Z8WsicXWb,253
Liberty Cinema: Karol Bagh,28.65941,77.18973,4,Kiranichi,pMdWH5gP8j,254
M Cinemas: East of Kailash (Gold Class),28.55923,77.24623,4,Nachorizo,u3h6dAQZg,255
M2K: Pitampura,28.68925,77.13326,4,neenee,0UJg2MMo,256
M2K: Rohini,28.70094,77.1166,4,x_Sora,O5CAIJzRTMe,257
"Milan Cineplex, Karampura",28.6626009,77.1462858,4,zeran,DT9KkxpHES,258
Miraj Cinemas: Subhash Nagar,28.63874,77.1069,4,sazzaa,66xxVkBU2UF,259
"Moti Cinema, Chandni Chowk",28.656595,77.235293,4,iiNsanity,yOlRPJHeepw,260
Movietime: Pitampura,28.70582,77.14283,4,hop-step-death,4DtviN58,261
Movietime: Raja Garden,28.65266,77.12335,4,hearts-spades,pj1syWzE,262
PVR Promenade: Vasant Kunj,28.54262,77.15575,4,Mentria,5jDnC0aCB,263
"PVR: 3CS, Delhi",28.56778,77.24099,4,tack,alzWHxUT,264
"PVR: Anupam, Delhi",28.52374,77.20716,4,Yuenku,LbsUj3joX,265
"PVR: Director's Cut, Ambience Delhi",28.5408,77.15479,4,lala19,ntbJR7f64v,266
"PVR: Naraina, Delhi",28.63308,77.13889,4,waypastlame,az19C4EaA,267
"PVR: Pacific, Delhi",28.64269,77.10595,4,hipernova,PM757ogE,268
"PVR: Plaza-CP, Delhi",28.63515,77.21966,4,Karez,2yxDUUI9wUI,269
"PVR: Prashant Vihar, Delhi",28.71251,77.13594,4,AnimeUnion,p4nAMXNI,270
"PVR: Priya, Delhi",28.55732,77.16449,4,Pandaryu,NO3pnSAx,271
"PVR: Rivoli, Delhi",28.63101,77.21636,4,YordanYordanov,LnBN0ZIOU0p,272
"PVR: Sangam, Delhi",28.57239,77.1735,4,Pewpers,PPX4Oliy9,273
"PVR: Select City Walk (Gold), Delhi",28.52857,77.21973,4,Tsuui,1DHwFmB7Qe,274
"PVR: Select City Walk, Delhi",28.52857,77.21973,4,JHyunLover,taXNTyawM,275
